Assessed Fourth Grade Students at the End of the School Year 2021;;;;;
;;;;;
;;;;;
Country;"Advanced Benchmark
(625)";"High Benchmark 
(550)";"Intermediate Benchmark 
(475)";"Low Benchmark 
(400)";Below Low Benchmark (<400)
Singapore;35;36;19;7;3
Hong Kong SAR;21;47;24;6;2
Russian Federation;21;42;26;9;2
England ;18;39;29;11;3
Bulgaria;16;33;29;15;7
Sweden;15;35;31;14;5
Finland;14;39;31;12;4
Australia;14;34;32;14;6
Poland;14;38;33;12;3
New Zealand;11;30;30;19;10
Czech Republic;11;36;35;14;4
Denmark;11;37;33;15;4
Norway ;11;36;34;15;4
Chinese Taipei;10;40;35;12;3
Macao SAR;9;36;37;14;4
Germany;8;31;36;19;6
Italy;8;36;39;14;3
Israel ;8;27;32;21;12
Slovak Republic;8;34;37;15;6
Malta;8;28;34;20;10
Austria;7;34;39;16;4
Albania;7;26;36;23;8
Netherlands;6;31;42;17;4
Cyprus;6;26;37;23;8
Portugal;6;30;39;19;6
Spain;6;29;41;19;5
Turkiye;5;24;33;24;14
Slovenia;5;30;40;19;6
Serbia;5;28;40;20;7
France;5;27;40;22;6
Belgium (Flemish);3;26;42;23;6
Oman;3;10;22;27;38
Belgium (French);3;20;39;27;11
Montenegro;2;19;38;28;13
Brazil ;2;11;24;24;39
North Macedonia;1;10;27;32;30
Azerbaijan;1;10;26;30;33
Egypt;1;4;14;26;55
Jordan;1;4;17;25;53
South Africa ;1;2;6;10;81
Iran, Islamic Rep. of ;1;6;22;30;41
Uzbekistan;0;7;27;36;30
Kosovo;0;5;22;35;38
International Median;7;29;39;19;6
